不一定	不一定	bù yī dìng	ㄅㄨˋ ㄧ ㄉㄧㄥˋ		不一定bù yī dìngㄅㄨˋ ㄧ ㄉㄧㄥˋnot necessarily maybe
段	段	Duàn, duàn	ㄉㄨㄢˋ		段Duànㄉㄨㄢˋsurname Duan段duànㄉㄨㄢˋparagraph section segment stage (of a process) classifier for stories, periods of time, lengths of thread etc
刚刚	剛剛	gāng gang	ㄍㄤ ㄍㄤ˙		刚刚〔剛剛〕gāng gangㄍㄤ ㄍㄤ˙just recently just a moment ago
行动	行動	xíng dòng	ㄒㄧㄥˊ ㄉㄨㄥˋ		行动〔行動〕xíng dòngㄒㄧㄥˊ ㄉㄨㄥˋoperation action to move mobile CL:個|个[ge4]
努力	努力	nǔ lì	ㄋㄨˇ ㄌㄧˋ		努力nǔ lìㄋㄨˇ ㄌㄧˋgreat effort to strive to try hard
酒	酒	jiǔ	ㄐㄧㄡˇ		酒jiǔㄐㄧㄡˇwine (esp. rice wine) liquor spirits alcoholic beverage CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]
发	髮	fā, fà	ㄈㄚ, ㄈㄚˋ		"发〔髮〕fāㄈㄚto send out to show (one's feeling) to issue to develop to make a bundle of money classifier for gunshots (rounds)发〔髮〕fàㄈㄚˋhair Taiwan pr. [fa3]"
刚才	剛纔	gāng cái	ㄍㄤ ㄘㄞˊ		刚才〔剛纔〕gāng cáiㄍㄤ ㄘㄞˊjust now a moment ago (just) a moment ago
节目	節目	jié mù	ㄐㄧㄝˊ ㄇㄨˋ		节目〔節目〕jié mùㄐㄧㄝˊ ㄇㄨˋprogram item (on a program) CL:臺|台[tai2],個|个[ge4],套[tao4]
通过	通過	tōng guò	ㄊㄨㄥ ㄍㄨㄛˋ		通过〔通過〕tōng guòㄊㄨㄥ ㄍㄨㄛˋby means of through via to pass through to get through to adopt to pass (a bill or inspection etc) to switch over
开心	開心	kāi xīn	ㄎㄞ ㄒㄧㄣ		开心〔開心〕kāi xīnㄎㄞ ㄒㄧㄣto feel happy to rejoice to have a great time to make fun of sb
辆	輛	liàng	ㄌㄧㄤˋ		辆〔輛〕liàngㄌㄧㄤˋclassifier for vehicles
变成	變成	biàn chéng	ㄅㄧㄢˋ ㄔㄥˊ		变成〔變成〕biàn chéngㄅㄧㄢˋ ㄔㄥˊto change into to turn into to become
倒	倒	dǎo, dào	ㄉㄠˇ, ㄉㄠˋ		倒dǎoㄉㄠˇto fall to collapse to overthrow to fail to go bankrupt to change (trains or buses) to move around to resell at a profit倒dàoㄉㄠˋto place upside down to invert to pour to throw out to move backwards however actually as a matter of fact contrary to expectation
离	離	chī, Lí, lí	ㄔ, ㄌㄧˊ		离〔離〕chīㄔmythical beast (archaic)离〔離〕Líㄌㄧˊsurname Li离〔離〕líㄌㄧˊto leave to part from to be away from (in giving distances) from without (sth) independent of one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire ☲
往	徃	wǎng	ㄨㄤˇ		往〔徃〕wǎngㄨㄤˇto go (in a direction) to towards (of a train) bound for past previous old variant of 往[wang3]
万	萬	Mò, Wàn, wàn	ㄇㄛˋ, ㄨㄢˋ		万〔萬〕Mòㄇㄛˋsee 万俟[Mo4 qi2]万〔萬〕Wànㄨㄢˋsurname Wan万〔萬〕wànㄨㄢˋten thousand a great number
句	句	gōu, jù	ㄍㄡ, ㄐㄩˋ		句gōuㄍㄡvariant of 勾[gou1]句jùㄐㄩˋsentence clause phrase classifier for phrases or lines of verse
靠	靠	kào	ㄎㄠˋ		靠kàoㄎㄠˋto lean against or on to stand by the side of to come near to to depend on to trust to fuck (vulgar) traditional military costume drama where the performers wear armor (old)
办公室	辦公室	bàn gōng shì	ㄅㄢˋ ㄍㄨㄥ ㄕˋ		办公室〔辦公室〕bàn gōng shìㄅㄢˋ ㄍㄨㄥ ㄕˋoffice business premises bureau CL:間|间[jian1]
生	生	shēng	ㄕㄥ		生shēngㄕㄥto be born to give birth life to grow raw uncooked student
眼睛	眼睛	yǎn jing	ㄧㄢˇ ㄐㄧㄥ˙		眼睛yǎn jingㄧㄢˇ ㄐㄧㄥ˙eye CL:隻|只[zhi1],雙|双[shuang1]
最近	最近	zuì jìn	ㄗㄨㄟˋ ㄐㄧㄣˋ		最近zuì jìnㄗㄨㄟˋ ㄐㄧㄣˋrecent recently these days latest soon nearest (of locations) shortest (of routes)
声音	聲音	shēng yīn	ㄕㄥ ㄧㄣ		声音〔聲音〕shēng yīnㄕㄥ ㄧㄣvoice sound CL:個|个[ge4]
快乐	快樂	kuài lè	ㄎㄨㄞˋ ㄌㄜˋ		快乐〔快樂〕kuài lèㄎㄨㄞˋ ㄌㄜˋhappy merry
可爱	可愛	kě ài	ㄎㄜˇ ㄞˋ		可爱〔可愛〕kě àiㄎㄜˇ ㄞˋadorable cute lovely
进入	進入	jìn rù	ㄐㄧㄣˋ ㄖㄨˋ		进入〔進入〕jìn rùㄐㄧㄣˋ ㄖㄨˋto enter to join to go into
能够	能夠	néng gòu	ㄋㄥˊ ㄍㄡˋ		能够〔能夠〕néng gòuㄋㄥˊ ㄍㄡˋto be capable of to be able to can
分	分	fēn, fèn	ㄈㄣ, ㄈㄣˋ		分fēnㄈㄣto divide to separate to distribute to allocate to distinguish (good and bad) part or subdivision fraction one tenth (of certain units) unit of length equivalent to 0.33 cm minute a point (in sports or games) 0.01 yuan (unit of money)分fènㄈㄣˋpart share ingredient component
完成	完成	wán chéng	ㄨㄢˊ ㄔㄥˊ		完成wán chéngㄨㄢˊ ㄔㄥˊto complete to accomplish
不行	不行	bù xíng	ㄅㄨˋ ㄒㄧㄥˊ		"不行bù xíngㄅㄨˋ ㄒㄧㄥˊwon't do be out of the question be no good not work not be capable"
样子	樣子	yàng zi	ㄧㄤˋ ㄗ˙		样子〔樣子〕yàng ziㄧㄤˋ ㄗ˙appearance manner pattern model
提	提	tí	ㄊㄧˊ		提tíㄊㄧˊto carry (hanging down from the hand) to lift to put forward to mention to raise (an issue) upwards character stroke lifting brush stroke (in painting) scoop for measuring liquid
部分	部分	bù fen	ㄅㄨˋ ㄈㄣ˙		部分bù fenㄅㄨˋ ㄈㄣ˙part share section piece CL:個|个[ge4]
要求	要求	yāo qiú	ㄧㄠ ㄑㄧㄡˊ		要求yāo qiúㄧㄠ ㄑㄧㄡˊto request to require to stake a claim to ask to demand CL:點|点[dian3]
虽然	雖然	suī rán	ㄙㄨㄟ ㄖㄢˊ		虽然〔雖然〕suī ránㄙㄨㄟ ㄖㄢˊalthough even though even if
办	辦	bàn	ㄅㄢˋ		办〔辦〕bànㄅㄢˋto do to manage to handle to go about to run to set up to deal with
想到	想到	xiǎng dào	ㄒㄧㄤˇ ㄉㄠˋ		想到xiǎng dàoㄒㄧㄤˇ ㄉㄠˋto think of to call to mind to anticipate
加	加	Jiā, jiā	ㄐㄧㄚ		加Jiāㄐㄧㄚabbr. for Canada 加拿大[Jia1 na2 da4] surname Jia加jiāㄐㄧㄚto add plus (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) to apply (restrictions etc) to (sb) to give (support, consideration etc) to (sth)
脸	臉	liǎn	ㄌㄧㄢˇ		脸〔臉〕liǎnㄌㄧㄢˇface CL:張|张[zhang1],個|个[ge4]
不同	不同	bù tóng	ㄅㄨˋ ㄊㄨㄥˊ		不同bù tóngㄅㄨˋ ㄊㄨㄥˊdifferent distinct not the same not alike
画儿	畫兒	huàr	ㄏㄨㄚˋ ㄦ˙		画儿〔畫兒〕huàrㄏㄨㄚˋ ㄦ˙picture drawing painting
家庭	家庭	jiā tíng	ㄐㄧㄚ ㄊㄧㄥˊ		家庭jiā tíngㄐㄧㄚ ㄊㄧㄥˊfamily household CL:戶|户[hu4],個|个[ge4]
装	裝	zhuāng	ㄓㄨㄤ		装〔裝〕zhuāngㄓㄨㄤadornment to adorn dress clothing costume (of an actor in a play) to play a role to pretend to install to fix to wrap (sth in a bag) to load to pack
检查	檢查	jiǎn chá	ㄐㄧㄢˇ ㄔㄚˊ		检查〔檢查〕jiǎn cháㄐㄧㄢˇ ㄔㄚˊinspection to examine to inspect CL:次[ci4]
不好意思	不好意思	bù hǎo yì si	ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ˙		不好意思bù hǎo yì siㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ˙to feel embarrassed to find it embarrassing to be sorry (for inconveniencing sb)
药	藥	yào	ㄧㄠˋ		药〔藥〕yàoㄧㄠˋleaf of the iris variant of 藥|药[yao4] medicine drug substance used for a specific purpose (e.g. poisoning, explosion, fermenting) CL:種|种[zhong3],服[fu4],味[wei4] to poison
音乐	音樂	yīn yuè	ㄧㄣ ㄩㄝˋ		音乐〔音樂〕yīn yuèㄧㄣ ㄩㄝˋmusic CL:張|张[zhang1],曲[qu3],段[duan4]
留下	留下	liú xià	ㄌㄧㄡˊ ㄒㄧㄚˋ		留下liú xiàㄌㄧㄡˊ ㄒㄧㄚˋto leave behind to stay behind to remain to keep not to let (sb) go
重新	重新	chóng xīn	ㄔㄨㄥˊ ㄒㄧㄣ		重新chóng xīnㄔㄨㄥˊ ㄒㄧㄣagain once more re-
收到	收到	shōu dào	ㄕㄡ ㄉㄠˋ		收到shōu dàoㄕㄡ ㄉㄠˋto receive
其中	其中	qí zhōng	ㄑㄧˊ ㄓㄨㄥ		其中qí zhōngㄑㄧˊ ㄓㄨㄥamong in included among these
片	片	piān, piàn	ㄆㄧㄢ, ㄆㄧㄢˋ		片piānㄆㄧㄢdisk sheet片piànㄆㄧㄢˋthin piece flake a slice film TV play to slice to carve thin partial incomplete one-sided classifier for slices, tablets, tract of land, area of water classifier for CDs, movies, DVDs etc used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc
想法	想法	xiǎng fǎ	ㄒㄧㄤˇ ㄈㄚˇ		想法xiǎng fǎㄒㄧㄤˇ ㄈㄚˇway of thinking opinion notion to think of a way (to do sth) CL:個|个[ge4]
黑	黑	Hēi, hēi	ㄏㄟ		黑Hēiㄏㄟabbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]黑hēiㄏㄟblack dark sinister secret shady illegal to hide (sth) away to vilify (loanword) to hack (computing)
带来	帶來	dài lái	ㄉㄞˋ ㄌㄞˊ		带来〔帶來〕dài láiㄉㄞˋ ㄌㄞˊto bring to bring about to produce
来自	來自	lái zì	ㄌㄞˊ ㄗˋ		来自〔來自〕lái zìㄌㄞˊ ㄗˋto come from (a place) From: (in email header)
越	越	Yuè, yuè	ㄩㄝˋ		越Yuèㄩㄝˋgeneric word for peoples or states of south China or south Asia at different historical periods abbr. for Vietnam 越南越yuèㄩㄝˋto exceed to climb over to surpass the more... the more
照顾	照顧	zhào gu	ㄓㄠˋ ㄍㄨ˙		照顾〔照顧〕zhào guㄓㄠˋ ㄍㄨ˙to take care of to show consideration to attend to to look after
太太	太太	tài tai	ㄊㄞˋ ㄊㄞ˙		太太tài taiㄊㄞˋ ㄊㄞ˙married woman Mrs. Madam wife CL:個|个[ge4],位[wei4]
加油	加油	jiā yóu	ㄐㄧㄚ ㄧㄡˊ		加油jiā yóuㄐㄧㄚ ㄧㄡˊto add oil to top up with gas to refuel to accelerate to step on the gas (fig.) to make an extra effort to cheer sb on
怕	怕	Pà, pà	ㄆㄚˋ		怕Pàㄆㄚˋsurname Pa怕pàㄆㄚˋto be afraid to fear to dread to be unable to endure perhaps
多久	多久	duō jiǔ	ㄉㄨㄛ ㄐㄧㄡˇ		多久duō jiǔㄉㄨㄛ ㄐㄧㄡˇhow long?
直接	直接	zhí jiē	ㄓˊ ㄐㄧㄝ		直接zhí jiēㄓˊ ㄐㄧㄝdirect opposite: indirect 間接|间接 immediate directly straightforward
店	店	diàn	ㄉㄧㄢˋ		店diànㄉㄧㄢˋinn shop store CL:家[jia1]
正常	正常	zhèng cháng	ㄓㄥˋ ㄔㄤˊ		正常zhèng chángㄓㄥˋ ㄔㄤˊregular normal ordinary
船	船	chuán	ㄔㄨㄢˊ		船chuánㄔㄨㄢˊvariant of 船[chuan2] boat vessel ship CL:條|条[tiao2],艘[sou1],隻|只[zhi1]
遍	遍	biàn	ㄅㄧㄢˋ		遍biànㄅㄧㄢˋvariant of 遍[bian4] everywhere all over classifier for actions: one time
方法	方法	fāng fǎ	ㄈㄤ ㄈㄚˇ		方法fāng fǎㄈㄤ ㄈㄚˇmethod way means CL:個|个[ge4]
克	尅	kè, Kè, kēi	ㄎㄜˋ, ㄎㄟ		克〔尅〕kèㄎㄜˋto be able to to subdue to restrain to overcome gram Tibetan unit of land area, about 6 ares variant of 克[ke4] to subdue to overthrow to restrain variant of 剋|克[ke4]克〔尅〕KèㄎㄜˋKe (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God克〔尅〕kēiㄎㄟto scold to beat
碰	踫	pèng	ㄆㄥˋ		碰〔踫〕pèngㄆㄥˋvariant of 碰[peng4] to touch to meet with to bump old variant of 碰[peng4]
礼物	禮物	lǐ wù	ㄌㄧˇ ㄨˋ		礼物〔禮物〕lǐ wùㄌㄧˇ ㄨˋgift present CL:件[jian4],個|个[ge4],份[fen4]
随便	隨便	suí biàn	ㄙㄨㄟˊ ㄅㄧㄢˋ		随便〔隨便〕suí biànㄙㄨㄟˊ ㄅㄧㄢˋas one wishes as one pleases at random negligent casual wanton
头发	頭髮	tóu fa	ㄊㄡˊ ㄈㄚ˙		头发〔頭髮〕tóu faㄊㄡˊ ㄈㄚ˙hair (on the head)
关心	關心	guān xīn	ㄍㄨㄢ ㄒㄧㄣ		关心〔關心〕guān xīnㄍㄨㄢ ㄒㄧㄣto be concerned about to care about
面	麵	miàn	ㄇㄧㄢˋ		面〔麵〕miànㄇㄧㄢˋface side surface aspect top classifier for flat surfaces such as drums, mirrors, flags etc variant of 麵|面[mian4] flour noodles (of food) soft (not crunchy) (slang) (of a person) ineffectual spineless
气	氣	qì	ㄑㄧˋ		气〔氣〕qìㄑㄧˋgas air smell weather to make angry to annoy to get angry vital energy qi
自由	自由	zì yóu	ㄗˋ ㄧㄡˊ		自由zì yóuㄗˋ ㄧㄡˊfreedom free liberty CL:個|个[ge4]
脚	腳	jiǎo, jué	ㄐㄧㄠˇ, ㄐㄩㄝˊ		脚〔腳〕jiǎoㄐㄧㄠˇfoot leg (of an animal or an object) base (of an object) CL:雙|双[shuang1],隻|只[zhi1] classifier for kicks脚〔腳〕juéㄐㄩㄝˊvariant of 角[jue2] role
做到	做到	zuò dào	ㄗㄨㄛˋ ㄉㄠˋ		做到zuò dàoㄗㄨㄛˋ ㄉㄠˋto accomplish to achieve
套	套	tào	ㄊㄠˋ		套tàoㄊㄠˋto cover to encase cover sheath to overlap to interleave to model after to copy formula harness loop of rope (fig.) to fish for to obtain slyly classifier for sets, collections bend (of a river or mountain range, in place names) tau (Greek letter Ττ)
哭	哭	kū	ㄎㄨ		哭kūㄎㄨto cry to weep
晚安	晚安	wǎn ān	ㄨㄢˇ ㄢ		晚安wǎn ānㄨㄢˇ ㄢGood night! Good evening!
画	畫	huà	ㄏㄨㄚˋ		画〔畫〕huàㄏㄨㄚˋto draw picture painting CL:幅[fu2],張|张[zhang1] classifier for paintings etc variant of 劃|划[hua4]
年轻	年輕	nián qīng	ㄋㄧㄢˊ ㄑㄧㄥ		年轻〔年輕〕nián qīngㄋㄧㄢˊ ㄑㄧㄥyoung
道	道	dào	ㄉㄠˋ		道dàoㄉㄠˋroad path CL:條|条[tiao2],股[gu3] principle truth morality reason skill method Dao (of Daoism) to say to speak to talk classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process (old) administrative division (similar to province in Tang times)
腿	骽	tuǐ	ㄊㄨㄟˇ		腿〔骽〕tuǐㄊㄨㄟˇleg CL:條|条[tiao2] hip bone old variant of 腿[tui3]
信息	信息	xìn xī	ㄒㄧㄣˋ ㄒㄧ		信息xìn xīㄒㄧㄣˋ ㄒㄧinformation news message
身边	身邊	shēn biān	ㄕㄣ ㄅㄧㄢ		"身边〔身邊〕shēn biānㄕㄣ ㄅㄧㄢat one's side on hand"
全部	全部	quán bù	ㄑㄩㄢˊ ㄅㄨˋ		全部quán bùㄑㄩㄢˊ ㄅㄨˋwhole entire complete
组	組	Zǔ, zǔ	ㄗㄨˇ		组〔組〕Zǔㄗㄨˇsurname Zu组〔組〕zǔㄗㄨˇto form to organize group team classifier for sets, series, groups of people, batteries
交	交	jiāo	ㄐㄧㄠ		交jiāoㄐㄧㄠto hand over to deliver to pay (money) to turn over to make friends to intersect (lines)
眼	眼	yǎn	ㄧㄢˇ		眼yǎnㄧㄢˇeye small hole crux (of a matter) CL:隻|只[zhi1],雙|双[shuang1] classifier for big hollow things (wells, stoves, pots etc)
猫	貓	māo	ㄇㄠ		猫〔貓〕māoㄇㄠcat CL:隻|只[zhi1] (dialect) to hide oneself (coll.) modem
到处	到處	dào chù	ㄉㄠˋ ㄔㄨˋ		到处〔到處〕dào chùㄉㄠˋ ㄔㄨˋeverywhere
卡	卡	kǎ, qiǎ	ㄎㄚˇ, ㄑㄧㄚˇ		卡kǎㄎㄚˇto stop to block card CL:張|张[zhang1],片[pian4] calorie cassette (computing) (coll.) slow卡qiǎㄑㄧㄚˇto block to be stuck to be wedged customs station a clip a fastener a checkpost Taiwan pr. [ka3]
新闻	新聞	xīn wén	ㄒㄧㄣ ㄨㄣˊ		新闻〔新聞〕xīn wénㄒㄧㄣ ㄨㄣˊnews CL:條|条[tiao2],個|个[ge4]
实在	實在	shí zài	ㄕˊ ㄗㄞˋ		实在〔實在〕shí zàiㄕˊ ㄗㄞˋreally actually indeed true real honest dependable (philosophy) reality
行为	行為	xíng wéi	ㄒㄧㄥˊ ㄨㄟˊ		行为〔行為〕xíng wéiㄒㄧㄥˊ ㄨㄟˊaction conduct behavior activity
边	邊	biān, bian	ㄅㄧㄢ, ㄅㄧㄢ˙		边〔邊〕biānㄅㄧㄢside edge margin border boundary CL:個|个[ge4] simultaneously边〔邊〕bianㄅㄧㄢ˙suffix of a noun of locality
经常	經常	jīng cháng	ㄐㄧㄥ ㄔㄤˊ		经常〔經常〕jīng chángㄐㄧㄥ ㄔㄤˊfrequently constantly regularly often day-to-day everyday daily
一会儿	一會兒	yī huìr	ㄧ ㄏㄨㄟˋ ㄦ˙		一会儿〔一會兒〕yī huìrㄧ ㄏㄨㄟˋ ㄦ˙a moment a while in a moment now...now... also pr. [yi1 hui3 r5]
词	詞	cí	ㄘˊ		词〔詞〕cíㄘˊold variant of 詞|词[ci2] word statement speech lyrics CL:組|组[zu3],個|个[ge4] classical Chinese poem CL:首[shou3]
差不多	差不多	chà bu duō	ㄔㄚˋ ㄅㄨ˙ ㄉㄨㄛ		差不多chà bu duōㄔㄚˋ ㄅㄨ˙ ㄉㄨㄛalmost nearly more or less about the same good enough not bad
中心	中心	zhōng xīn	ㄓㄨㄥ ㄒㄧㄣ		中心zhōng xīnㄓㄨㄥ ㄒㄧㄣcenter heart core CL:個|个[ge4]
可怕	可怕	kě pà	ㄎㄜˇ ㄆㄚˋ		可怕kě pàㄎㄜˇ ㄆㄚˋawful dreadful fearful formidable frightful scary hideous horrible terrible terribly
笔	筆	bǐ	ㄅㄧˇ		笔〔筆〕bǐㄅㄧˇpen pencil writing brush to write or compose the strokes of Chinese characters classifier for sums of money, deals CL:支[zhi1],枝[zhi1]
满	滿	Mǎn, mǎn	ㄇㄢˇ		满〔滿〕MǎnㄇㄢˇManchu ethnic group满〔滿〕mǎnㄇㄢˇto fill full filled packed fully completely quite to reach the limit to satisfy satisfied contented
假	叚	jiǎ, jià	ㄐㄧㄚˇ, ㄐㄧㄚˋ		假〔叚〕jiǎㄐㄧㄚˇfake false artificial to borrow if suppose variant of 假[jia3] to borrow假〔叚〕jiàㄐㄧㄚˋvacation
面前	面前	miàn qián	ㄇㄧㄢˋ ㄑㄧㄢˊ		面前miàn qiánㄇㄧㄢˋ ㄑㄧㄢˊin front of facing (in the) presence (of)
正确	正確	zhèng què	ㄓㄥˋ ㄑㄩㄝˋ		正确〔正確〕zhèng quèㄓㄥˋ ㄑㄩㄝˋcorrect proper
答应	答應	dā ying	ㄉㄚ ㄧㄥ˙		答应〔答應〕dā yingㄉㄚ ㄧㄥ˙to promise to agree to reply to respond
收	收	shōu	ㄕㄡ		收shōuㄕㄡto receive to accept to collect to put away to restrain to stop in care of (used on address line after name)
街	街	jiē	ㄐㄧㄝ		街jiēㄐㄧㄝstreet CL:條|条[tiao2]
借	藉	jiè	ㄐㄧㄝˋ		借〔藉〕jièㄐㄧㄝˋto lend to borrow by means of to take (an opportunity) variant of 借[jie4]
放下	放下	fàng xià	ㄈㄤˋ ㄒㄧㄚˋ		放下fàng xiàㄈㄤˋ ㄒㄧㄚˋto lay down to put down to let go of to relinquish to set aside to lower (the blinds etc)
同时	同時	tóng shí	ㄊㄨㄥˊ ㄕˊ		同时〔同時〕tóng shíㄊㄨㄥˊ ㄕˊat the same time simultaneously
日子	日子	rì zi	ㄖˋ ㄗ˙		"日子rì ziㄖˋ ㄗ˙day a (calendar) date days of one's life"
座	座	zuò	ㄗㄨㄛˋ		座zuòㄗㄨㄛˋseat base stand CL:個|个[ge4] classifier for buildings, mountains and similar immovable objects
比如	比如	bǐ rú	ㄅㄧˇ ㄖㄨˊ		比如bǐ rúㄅㄧˇ ㄖㄨˊfor example for instance such as
影响	影響	yǐng xiǎng	ㄧㄥˇ ㄒㄧㄤˇ		影响〔影響〕yǐng xiǎngㄧㄥˇ ㄒㄧㄤˇinfluence effect to influence to affect (usually adversely) to disturb CL:股[gu3]
米	米	Mǐ, mǐ	ㄇㄧˇ		米Mǐㄇㄧˇsurname Mi米mǐㄇㄧˇrice CL:粒[li4] meter (classifier)
有意思	有意思	yǒu yì si	ㄧㄡˇ ㄧˋ ㄙ˙		有意思yǒu yì siㄧㄡˇ ㄧˋ ㄙ˙interesting meaningful enjoyable fun
使用	使用	shǐ yòng	ㄕˇ ㄩㄥˋ		使用shǐ yòngㄕˇ ㄩㄥˋto use to employ to apply to make use of
方面	方面	fāng miàn	ㄈㄤ ㄇㄧㄢˋ		方面fāng miànㄈㄤ ㄇㄧㄢˋrespect aspect field side CL:個|个[ge4]
银行	銀行	yín háng	ㄧㄣˊ ㄏㄤˊ		银行〔銀行〕yín hángㄧㄣˊ ㄏㄤˊbank CL:家[jia1],個|个[ge4]
原来	原來	yuán lái	ㄩㄢˊ ㄌㄞˊ		原来〔原來〕yuán láiㄩㄢˊ ㄌㄞˊoriginal former originally formerly at first so, actually, as it turns out
讨论	討論	tǎo lùn	ㄊㄠˇ ㄌㄨㄣˋ		讨论〔討論〕tǎo lùnㄊㄠˇ ㄌㄨㄣˋto discuss to talk over CL:個|个[ge4]
同样	同樣	tóng yàng	ㄊㄨㄥˊ ㄧㄤˋ		同样〔同樣〕tóng yàngㄊㄨㄥˊ ㄧㄤˋsame equal equivalent
什么样	甚麼樣	shén me yàng	ㄕㄣˊ ㄇㄜ˙ ㄧㄤˋ		什么样〔甚麼樣〕shén me yàngㄕㄣˊ ㄇㄜ˙ ㄧㄤˋwhat kind? what sort? what appearance?
说明	說明	shuō míng	ㄕㄨㄛ ㄇㄧㄥˊ		说明〔說明〕shuō míngㄕㄨㄛ ㄇㄧㄥˊto explain to illustrate to indicate to show to prove explanation directions caption CL:個|个[ge4]
安静	安靜	ān jìng	ㄢ ㄐㄧㄥˋ		安静〔安靜〕ān jìngㄢ ㄐㄧㄥˋquiet peaceful calm
多么	多麼	duō me	ㄉㄨㄛ ㄇㄜ˙		多么〔多麼〕duō meㄉㄨㄛ ㄇㄜ˙how (wonderful etc) what (a great idea etc) however (difficult it may be etc) (in interrogative sentences) how (much etc) to what extent
红	紅	Hóng, hóng	ㄏㄨㄥˊ		红〔紅〕Hóngㄏㄨㄥˊsurname Hong红〔紅〕hóngㄏㄨㄥˊred popular revolutionary bonus
鸡	雞	jī	ㄐㄧ		鸡〔雞〕jīㄐㄧfowl chicken CL:隻|只[zhi1] (slang) prostitute
养	養	yǎng	ㄧㄤˇ		养〔養〕yǎngㄧㄤˇto raise (animals) to bring up (children) to keep (pets) to support to give birth
受到	受到	shòu dào	ㄕㄡˋ ㄉㄠˋ		受到shòu dàoㄕㄡˋ ㄉㄠˋto receive to suffer obtained given
就要	就要	jiù yào	ㄐㄧㄡˋ ㄧㄠˋ		就要jiù yàoㄐㄧㄡˋ ㄧㄠˋwill shall to be going to
夜	夜	yè	ㄧㄝˋ		夜yèㄧㄝˋvariant of 夜[ye4] night
活动	活動	huó dòng	ㄏㄨㄛˊ ㄉㄨㄥˋ		活动〔活動〕huó dòngㄏㄨㄛˊ ㄉㄨㄥˋto exercise to move about to operate to use connections (personal influence) loose shaky active movable activity campaign maneuver behavior CL:項|项[xiang4],個|个[ge4]
大人	大人	dà ren	ㄉㄚˋ ㄖㄣ˙		大人dà renㄉㄚˋ ㄖㄣ˙adult grownup title of respect toward superiors
通知	通知	tōng zhī	ㄊㄨㄥ ㄓ		通知tōng zhīㄊㄨㄥ ㄓto notify to inform notice notification CL:個|个[ge4]
后来	後來	hòu lái	ㄏㄡˋ ㄌㄞˊ		后来〔後來〕hòu láiㄏㄡˋ ㄌㄞˊafterwards later
意见	意見	yì jiàn	ㄧˋ ㄐㄧㄢˋ		意见〔意見〕yì jiànㄧˋ ㄐㄧㄢˋidea opinion suggestion objection complaint CL:點|点[dian3],條|条[tiao2]
近	近	jìn	ㄐㄧㄣˋ		近jìnㄐㄧㄣˋnear close to approximately
数	數	shǔ, shù, shuò	ㄕㄨˇ, ㄕㄨˋ, ㄕㄨㄛˋ		"数〔數〕shǔㄕㄨˇto count to count as to regard as to enumerate (sb's shortcomings)数〔數〕shùㄕㄨˋnumber figure several CL:個|个[ge4]数〔數〕shuòㄕㄨㄛˋfrequently repeatedly"
只能	只能	zhǐ néng	ㄓˇ ㄋㄥˊ		只能zhǐ néngㄓˇ ㄋㄥˊcan only obliged to do sth to have no other choice
动物	動物	dòng wù	ㄉㄨㄥˋ ㄨˋ		动物〔動物〕dòng wùㄉㄨㄥˋ ㄨˋanimal CL:隻|只[zhi1],群[qun2],個|个[ge4]
舒服	舒服	shū fu	ㄕㄨ ㄈㄨ˙		舒服shū fuㄕㄨ ㄈㄨ˙comfortable feeling well
通	通	tōng, tòng	ㄊㄨㄥ, ㄊㄨㄥˋ		通tōngㄊㄨㄥto go through to know well (suffix) expert to connect to communicate open to clear classifier for letters, telegrams, phone calls etc通tòngㄊㄨㄥˋclassifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)
一般	一般	yī bān	ㄧ ㄅㄢ		一般yī bānㄧ ㄅㄢsame ordinary so-so common general generally in general
蛋	蛋	Dàn, dàn	ㄉㄢˋ		蛋Dànㄉㄢˋvariant of 蜑[Dan4]蛋dànㄉㄢˋegg CL:個|个[ge4],打[da2] oval-shaped thing
食物	食物	shí wù	ㄕˊ ㄨˋ		食物shí wùㄕˊ ㄨˋfood CL:種|种[zhong3]
封	封	Fēng, fēng	ㄈㄥ		封Fēngㄈㄥsurname Feng封fēngㄈㄥto confer to grant to bestow a title to seal classifier for sealed objects, esp. letters
正是	正是	zhèng shì	ㄓㄥˋ ㄕˋ		正是zhèng shìㄓㄥˋ ㄕˋ(emphasizes that sth is precisely or exactly as stated) precisely exactly even if just like in the same way as
味道	味道	wèi dao	ㄨㄟˋ ㄉㄠ˙		味道wèi daoㄨㄟˋ ㄉㄠ˙flavor smell hint of
